benchmark,variant,run,success,planning_time,roadmap_nodes,path_points,path_length,point_checks,line_checks,error_type
Fat bottleneck,BasicPRM,26,1,0.695441399991978,252,17,43.29738101365701,10719,254,
Fat bottleneck,BasicPRM,27,0,0.682498400012264,252,0,0.0,10676,254,
Fat bottleneck,BasicPRM,28,0,0.6865587000211235,252,0,0.0,10667,253,
Fat bottleneck,BasicPRM,29,0,0.7005868999985978,252,0,0.0,10888,261,
Fat bottleneck,BasicPRM,30,0,0.6909528999822214,252,0,0.0,10697,254,
Fat bottleneck,BasicPRM,31,0,0.7140000000072177,252,0,0.0,10608,249,
Fat bottleneck,BasicPRM,32,0,0.7044259999820497,252,0,0.0,10619,250,
Fat bottleneck,BasicPRM,33,1,0.6898594999802299,252,24,68.12838364332259,10680,251,
Fat bottleneck,BasicPRM,34,0,0.6958494000136852,252,0,0.0,10720,257,
Fat bottleneck,BasicPRM,35,1,0.7025664999964647,252,13,34.57551302061066,10713,253,
Fat bottleneck,BasicPRM,36,0,1.2129106000065804,252,0,0.0,10657,252,
Fat bottleneck,BasicPRM,37,0,0.6938649000076111,252,0,0.0,10671,252,
Fat bottleneck,BasicPRM,38,0,0.6914093000232242,252,0,0.0,10666,255,
Fat bottleneck,BasicPRM,39,0,0.7100876000185963,252,0,0.0,10732,253,
Fat bottleneck,BasicPRM,40,0,0.6898985999869183,252,0,0.0,10650,251,
Fat bottleneck,BasicPRM,41,0,0.6916520000086166,252,0,0.0,10598,250,
Fat bottleneck,BasicPRM,42,0,0.6700380999827757,252,0,0.0,10620,252,
Fat bottleneck,BasicPRM,43,0,0.6953541999973822,252,0,0.0,10843,261,
Fat bottleneck,BasicPRM,44,1,0.6897447000083048,252,15,38.106546860622935,10850,263,
Fat bottleneck,BasicPRM,45,0,0.6527785999933258,252,0,0.0,10653,251,
Fat bottleneck,BasicPRM,46,0,0.7186109999893233,252,0,0.0,10652,253,
Fat bottleneck,BasicPRM,47,1,0.6967221999948379,252,14,33.467690045536806,10742,255,
Fat bottleneck,BasicPRM,48,1,0.6876082000089809,252,14,40.861400195384434,10673,252,
Fat bottleneck,BasicPRM,49,0,0.7148202999960631,252,0,0.0,10652,252,
